index,Movie Name,Year,Actors,Directors,Writer,Rating
840,Brief Encounter,24/08/46,"Celia Johnson, Trevor Howard, Stanley Holloway",David Lean,"Noël Coward, Anthony Havelock-Allan, David Lean",8
841,Its a Wonderful Life,07/01/47,"James Stewart, Donna Reed, Lionel Barrymore",Frank Capra,"Frances Goodrich, Albert Hackett, Frank Capra",8.7
842,"Rome, Open City",08/10/45,"Anna Magnani, Aldo Fabrizi, Marcello Pagliero",Roberto Rossellini,"Sergio Amidei, Federico Fellini, Roberto Rossellini",8
843,Out of the Past,01/12/47,"Robert Mitchum, Jane Greer, Kirk Douglas",Jacques Tourneur,"Daniel Mainwaring, James M. Cain, Frank Fenton",8
844,Key Largo,31/07/48,"Humphrey Bogart, Edward G. Robinson, Lauren Bacall",John Huston,"Richard Brooks, John Huston, Maxwell Anderson",7.8
845,Red River,17/09/48,"John Wayne, Montgomery Clift, Joanne Dru","Howard Hawks, Arthur Rosson","Borden Chase, Charles Schnee",7.8
846,Rope,25/09/48,"James Stewart, John Dall, Farley Granger",Alfred Hitchcock,"Hume Cronyn, Patrick Hamilton, Arthur Laurents",8
847,Kind Hearts and Coronets,14/06/50,"Dennis Price, Alec Guinness, Valerie Hobson",Robert Hamer,"Roy Horniman, Robert Hamer, John Dighton",8
848,White Heat,03/09/49,"James Cagney, Virginia Mayo, Edmond OBrien",Raoul Walsh,"Ivan Goff, Ben Roberts, Virginia Kellogg",8.1
849,The Asphalt Jungle,12/05/50,"Sterling Hayden, Louis Calhern, Jean Hagen",John Huston,"Ben Maddow, John Huston, W.R. Burnett",7.9
850,Harvey,21/12/50,"James Stewart, Wallace Ford, William H. Lynn",Henry Koster,"Mary Chase, Oscar Brodney, Myles Connolly",7.9
851,In a Lonely Place,01/08/50,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy",Nicholas Ray,"Andrew Solt, Edmund H. North, Dorothy B. Hughes",7.9
852,Sunset Blvd.,04/08/50,"William Holden, Gloria Swanson, Erich von Stroheim",Billy Wilder,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.",8.4
853,The Day the Earth Stood Still,12/12/08,"Keanu Reeves, Jennifer Connelly, Kathy Bates",Scott Derrickson,"David Scarpa, Edmund H. North",5.5
854,The Big Heat,06/12/53,"Glenn Ford, Gloria Grahame, Jocelyn Brando",Fritz Lang,"Sydney Boehm, William P. McGivern",7.9
855,Roman Holiday,02/09/53,"Gregory Peck, Audrey Hepburn, Eddie Albert",William Wyler,"Dalton Trumbo, Ian McLellan Hunter, John Dighton",8
856,The Wages of Fear,16/02/55,"Yves Montand, Charles Vanel, Peter van Eyck",Henri-Georges Clouzot,"Georges Arnaud, Henri-Georges Clouzot, Jérôme Géronimi",8.2
857,Stalag 17,06/06/53,"William Holden, Don Taylor, Otto Preminger",Billy Wilder,"Billy Wilder, Edwin Blum, Donald Bevan",8
858,Tokyo Story,13/03/72,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",Yasujirô Ozu,"Kôgo Noda, Yasujirô Ozu",8.2
859,Sabrina,15/10/54,"Humphrey Bogart, Audrey Hepburn, William Holden",Billy Wilder,"Billy Wilder, Samuel A. Taylor, Ernest Lehman",7.6
860,The Road,25/11/09,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee",John Hillcoat,"Joe Penhall, Cormac McCarthy",7.2
861,East of Eden,10/04/55,"James Dean, Raymond Massey, Julie Harris",Elia Kazan,"John Steinbeck, Paul Osborn",7.8
862,Rebel Without a Cause,29/10/55,"James Dean, Natalie Wood, Sal Mineo",Nicholas Ray,"Stewart Stern, Irving Shulman, Nicholas Ray",7.7
863,Invasion of the Body Snatchers,22/12/78,"Donald Sutherland, Brooke Adams, Jeff Goldblum",Philip Kaufman,"W.D. Richter, Jack Finney",7.4
864,The Killing,03/04/11,"Mireille Enos, Joel Kinnaman, Billy Campbell",N/A,Veena Sud,8.3
865,The Searchers,26/05/56,"John Wayne, Jeffrey Hunter, Vera Miles",John Ford,"Frank S. Nugent, Alan Le May",7.9
866,Throne of Blood,22/11/61,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada",Akira Kurosawa,"Hideo Oguni, Shinobu Hashimoto, Ryûzô Kikushima",8.1
867,Paths of Glory,25/12/57,"Kirk Douglas, Ralph Meeker, Adolphe Menjou",Stanley Kubrick,"Stanley Kubrick, Calder Willingham, Jim Thompson",8.4
868,The Seventh Seal,13/10/58,"Max von Sydow, Gunnar Björnstrand, Bengt Ekerot",Ingmar Bergman,Ingmar Bergman,8.1
869,Wild Strawberries,22/06/59,"Victor Sjöström, Bibi Andersson, Ingrid Thulin",Ingmar Bergman,Ingmar Bergman,8.2
870,Sweet Smell of Success,04/07/57,"Burt Lancaster, Tony Curtis, Susan Harrison",Alexander Mackendrick,"Clifford Odets, Ernest Lehman, Alexander Mackendrick",8
871,The Hidden Fortress,06/10/60,"Toshirô Mifune, Misa Uehara, Minoru Chiaki",Akira Kurosawa,"Ryûzô Kikushima, Hideo Oguni, Shinobu Hashimoto",8.1
872,The 400 Blows,16/11/59,"Jean-Pierre Léaud, Albert Rémy, Claire Maurier",François Truffaut,"François Truffaut, Marcel Moussy",8.1
873,LAvventura,04/03/61,"Gabriele Ferzetti, Monica Vitti, Lea Massari",Michelangelo Antonioni,"Michelangelo Antonioni, Elio Bartolini, Tonino Guerra",7.8
874,Inherit the Wind,30/08/60,"Spencer Tracy, Fredric March, Gene Kelly",Stanley Kramer,"Nedrick Young, Harold Jacob Smith, Jerome Lawrence",8.1
875,Breakfast at Tiffanys,06/10/61,"Audrey Hepburn, George Peppard, Patricia Neal",Blake Edwards,"Truman Capote, George Axelrod",7.6
876,Judgment at Nuremberg,18/12/61,"Spencer Tracy, Burt Lancaster, Richard Widmark",Stanley Kramer,"Abby Mann, Montgomery Clift",8.3
877,Jules and Jim,23/01/62,"Jeanne Moreau, Oskar Werner, Henri Serre",François Truffaut,"Henri-Pierre Roché, François Truffaut, Jean Gruault",7.7
878,Yojimbo,13/09/61,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai",Akira Kurosawa,"Akira Kurosawa, Ryûzô Kikushima",8.2
879,Cape Fear,15/11/91,"Robert De Niro, Nick Nolte, Jessica Lange",Martin Scorsese,"John D. MacDonald, James R. Webb, Wesley Strick",7.3
880,Hara-Kiri,04/08/64,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita",Masaki Kobayashi,"Yasuhiko Takiguchi, Shinobu Hashimoto",8.6
881,Ivans Childhood,27/06/63,"Nikolay Burlyaev, Valentin Zubkov, Evgeniy Zharikov","Andrei Tarkovsky, Eduard Abalov","Vladimir Bogomolov, Mikhail Papava, Andrei Tarkovsky",8.1
882,The Man Who Shot Liberty Valance,22/04/62,"James Stewart, John Wayne, Vera Miles",John Ford,"James Warner Bellah, Willis Goldbeck, Dorothy M. Johnson",8.1
883,The Manchurian Candidate,30/07/04,"Denzel Washington, Liev Schreiber, Meryl Streep",Jonathan Demme,"Richard Condon, George Axelrod, Daniel Pyne",6.6
884,Sanjuro,07/05/63,"Toshirô Mifune, Tatsuya Nakadai, Keiju Kobayashi",Akira Kurosawa,"Ryûzô Kikushima, Hideo Oguni, Akira Kurosawa",8.1
885,To Kill a Mockingbird,16/03/63,"Gregory Peck, John Megna, Frank Overton",Robert Mulligan,"Harper Lee, Horton Foote",8.3
886,Vivre Sa Vie,20/09/62,"Anna Karina, Sady Rebbot, André S. Labarthe",Jean-Luc Godard,"Marcel Sacotte, Jean-Luc Godard",8
887,The Exterminating Angel,21/08/67,"Silvia Pinal, Jacqueline Andere, Enrique Rambal",Luis Buñuel,"Luis Buñuel, Luis Alcoriza",8
888,The Leopard,29/03/63,"Burt Lancaster, Alain Delon, Claudia Cardinale",Luchino Visconti,"Giuseppe Tomasi di Lampedusa, Suso Cecchi DAmico, Pasquale Festa Campanile",8
889,High and Low,26/11/63,"Toshirô Mifune, Yutaka Sada, Tatsuya Nakadai",Akira Kurosawa,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita",8.4
890,Zulu,17/06/64,"Stanley Baker, Jack Hawkins, Ulla Jacobsson",Cy Endfield,"John Prebble, Cy Endfield",7.7
891,Repulsion,03/10/65,"Catherine Deneuve, Ian Hendry, John Fraser",Roman Polanski,"Roman Polanski, Gérard Brach, David Stone",7.6
892,Persona,16/03/67,"Bibi Andersson, Liv Ullmann, Margaretha Krook",Ingmar Bergman,Ingmar Bergman,8.1
893,Whos Afraid of Virginia Woolf?,22/06/66,"Elizabeth Taylor, Richard Burton, George Segal",Mike Nichols,"Ernest Lehman, Edward Albee",8
894,Bonnie and Clyde,14/08/67,"Warren Beatty, Faye Dunaway, Michael J. Pollard",Arthur Penn,"David Newman, Robert Benton, Robert Towne",7.8
895,In Cold Blood,15/12/67,"Robert Blake, Scott Wilson, John Forsythe",Richard Brooks,"Truman Capote, Richard Brooks",7.9
896,Rosemarys Baby,12/06/68,"Mia Farrow, John Cassavetes, Ruth Gordon",Roman Polanski,"Ira Levin, Roman Polanski",8
897,Where Eagles Dare,12/03/69,"Richard Burton, Clint Eastwood, Mary Ure",Brian G. Hutton,Alistair MacLean,7.6
898,Anand,12/03/71,"Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal",Hrishikesh Mukherjee,"Hrishikesh Mukherjee, Gulzar, D.N. Mukherjee",8.1
899,Harold and Maude,20/12/71,"Ruth Gordon, Bud Cort, Vivian Pickles",Hal Ashby,Colin Higgins,7.9
900,"Aguirre, the Wrath of God",03/04/77,"Klaus Kinski, Ruy Guerra, Helena Rojo",Werner Herzog,Werner Herzog,7.9
901,Solaris,26/09/72,"Natalya Bondarchuk, Donatas Banionis, Jüri Järvet",Andrei Tarkovsky,"Stanislaw Lem, Fridrikh Gorenshteyn, Andrei Tarkovsky",8
902,Badlands,05/01/74,"Martin Sheen, Sissy Spacek, Warren Oates",Terrence Malick,Terrence Malick,7.8
903,Dersu Uzala,20/12/77,"Maksim Munzuk, Yuriy Solomin, Mikhail Bychkov",Akira Kurosawa,"Akira Kurosawa, Yuriy Nagibin, Vladimir Arsenev",8.3
904,Barry Lyndon,18/12/75,"Ryan ONeal, Marisa Berenson, Patrick Magee",Stanley Kubrick,"Stanley Kubrick, William Makepeace Thackeray",8.1
905,Love and Death,10/09/75,"Woody Allen, Diane Keaton, Georges Adet",Woody Allen,Woody Allen,7.7
906,The Man Who Would Be King,19/12/75,"Sean Connery, Michael Caine, Christopher Plummer",John Huston,"John Huston, Gladys Hill, Rudyard Kipling",7.8
907,Sholay,15/08/75,"Sanjeev Kumar, Dharmendra, Amitabh Bachchan",Ramesh Sippy,"Javed Akhtar, Salim Khan",8.1
908,The Message,31/01/77,"Anthony Quinn, Irene Papas, Michael Ansara",Moustapha Akkad,"H.A.L. Craig, Tewfik El-Hakim, A.B. Jawdat El-Sahhar",8.1
909,Network,27/11/76,"Faye Dunaway, William Holden, Peter Finch",Sidney Lumet,Paddy Chayefsky,8.1
910,Days of Heaven,06/10/78,"Richard Gere, Brooke Adams, Sam Shepard",Terrence Malick,Terrence Malick,7.8
911,Autumn Sonata,18/10/78,"Ingrid Bergman, Liv Ullmann, Lena Nyman",Ingmar Bergman,Ingmar Bergman,8.1
912,The Elephant Man,10/10/80,"Anthony Hopkins, John Hurt, Anne Bancroft",David Lynch,"Christopher De Vore, Eric Bergren, David Lynch",8.1
913,Kagemusha,10/10/80,"Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara",Akira Kurosawa,"Masato Ide, Akira Kurosawa",7.9
914,Fitzcarraldo,10/10/82,"Klaus Kinski, Claudia Cardinale, José Lewgoy",Werner Herzog,Werner Herzog,8
915,Come and See,03/09/85,"Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius",Elem Klimov,"Ales Adamovich, Elem Klimov",8.4
916,Castle in the Sky,19/07/91,"Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui",Hayao Miyazaki,"Hayao Miyazaki, Jonathan Swift",8
917,Grave of the Fireflies,26/07/89,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",Isao Takahata,"Akiyuki Nosaka, Isao Takahata",8.5
918,The Vanishing,27/10/88,"Bernard-Pierre Donnadieu, Gene Bervoets, Johanna ter Steege",George Sluizer,"Tim Krabbé, George Sluizer",7.7
919,The Killer,01/09/90,"Chow Yun-Fat, Danny Lee, Sally Yeh",John Woo,John Woo,7.8
920,Kikis Delivery Service,20/12/90,"Kirsten Dunst, Minami Takayama, Rei Sakuma",Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki",7.9
921,Porco Rosso,16/12/94,"Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi",Hayao Miyazaki,Hayao Miyazaki,7.7
922,Hard Boiled,16/04/92,"Chow Yun-Fat, Tony Chiu-Wai Leung, Teresa Mo",John Woo,"John Woo, Barry Wong, Gordon Chan",7.8
923,Ninja Scroll,05/06/93,"Kôichi Yamadera, Emi Shinohara, Takeshi Aono",Yoshiaki Kawajiri,Yoshiaki Kawajiri,7.8
924,Andaz Apna Apna,04/11/94,"Aamir Khan, Salman Khan, Raveena Tandon",Rajkumar Santoshi,"Rajkumar Santoshi, Dilip Shukla",8.1
925,Dilwale Dulhania Le Jayenge,20/10/95,"Shah Rukh Khan, Kajol, Amrish Puri",Aditya Chopra,"Aditya Chopra, Javed Siddiqui",8.2
926,Whisper of the Heart,13/12/96,"Yoko Honna, Issey Takahashi, Takashi Tachibana",Yoshifumi Kondô,"Hayao Miyazaki, Aoi Hiiragi, Cindy Davis",7.9
927,The Bandit,29/11/96,"Sener Sen, Ugur Yücel, Sermin Hürmeriç",Yavuz Turgul,Yavuz Turgul,8.2
928,Neon Genesis Evangelion: The End of Evangelion,01/06/02,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura","Hideaki Anno, Kazuya Tsurumaki",Hideaki Anno,8.1
929,Sarfarosh,30/04/99,"Aamir Khan, Naseeruddin Shah, Sonali Bendre",John Mathew Matthan,"Hriday Lani, John Mathew Matthan, Pathik Vats",8.1
930,Hera Pheri,31/03/00,"Akshay Kumar, Suniel Shetty, Paresh Rawal",Priyadarshan,"Siddique, Lal, Neeraj Vora",8.1
931,Joint Security Area,09/09/00,"Lee Yeong-ae, Lee Byung-hun, Kang-ho Song",Park Chan-wook,"Park Chan-wook, Seong-san Jeong, Hyun-seok Kim",7.8
932,Battle Royale,16/12/00,"Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto",Kinji Fukasaku,"Koushun Takami, Kenta Fukasaku",7.6
933,Vizontele,02/02/01,"Yilmaz Erdogan, Demet Akbag, Altan Erkekli","Yilmaz Erdogan, Ömer Faruk Sorak",Yilmaz Erdogan,8
934,My Sassy Girl,27/07/01,"Tae-Hyun Cha, Jun Ji-hyun, In-mun Kim",Jae-young Kwak,"Ho-sik Kim, Jae-young Kwak",8
935,Head-On,11/03/04,"Birol Ünel, Sibel Kekilli, Güven Kiraç",Fatih Akin,Fatih Akin,7.9
936,Munna Bhai M.B.B.S.,19/12/03,"Sanjay Dutt, Arshad Warsi, Gracy Singh",Rajkumar Hirani,"Vidhu Vinod Chopra, Rajkumar Hirani, Lajan Joseph",8.1
937,G.O.R.A.,10/03/17,"Cem Yilmaz, Özge Özberk, Ozan Güven",Ömer Faruk Sorak,"Can Yilmaz, Cem Yilmaz",8.1
938,C.R.A.Z.Y.,03/03/06,"Michel Côté, Marc-André Grondin, Danielle Proulx",Jean-Marc Vallée,"François Boulay, Jean-Marc Vallée",7.9
939,My Father and My Son,18/11/05,"Eser Sariyar, Çetin Tekindor, Fikret Kuskan",Cagan Irmak,Cagan Irmak,8.3
940,The Man from Earth,13/11/07,"David Lee Smith, Tony Todd, John Billingsley",Richard Schenkman,Jerome Bixby,7.9
941,The Girl Who Leapt Through Time,15/07/06,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura",Mamoru Hosoda,"Yasutaka Tsutsui, Satoko Okudera",7.7
942,Mary and Max,12/03/10,"Toni Collette, Philip Seymour Hoffman, Eric Bana",Adam Elliot,Adam Elliot,8.1
943,Soorarai Pottru,12/11/20,"Suriya, Paresh Rawal, Prakash Belawadi",Sudha Kongara,"Sudha Kongara, Shalini Ushadevi, Vijay Kumar",9.3
944,The Father,26/02/21,"Anthony Hopkins, Olivia Colman, Mark Gatiss",Florian Zeller,"Christopher Hampton, Florian Zeller",8.3
945,Sardar Udham,16/10/21,"Vicky Kaushal, Shaun Scott, Stephen Hogan",Shoojit Sircar,"Shubhendu Bhattacharya, Ritesh Shah",8.8
946,Hachi: A Dogs Tale,12/03/10,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa",Lasse Hallström,"Stephen P. Lindsey, Kaneto Shindô",8.1
947,Another Round,18/12/20,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang",Thomas Vinterberg,"Thomas Vinterberg, Tobias Lindholm",7.7
948,Shershaah,12/08/21,"Sidharth Malhotra, Kiara Advani, Shiv Panditt",Vishnuvardhan,Sandeep Shrivastava,8.9
949,Article 15,28/06/19,"Ayushmann Khurrana, Nassar, Manoj Pahwa",Anubhav Sinha,"Anubhav Sinha, Gaurav Solanki",8.2
950,CODA,13/08/21,"Emilia Jones, Marlee Matlin, Troy Kotsur",Sian Heder,"Sian Heder, Victoria Bedos, Stanislas Carré de Malberg",8.1
951,The Worst Person in the World,13/10/21,"Renate Reinsve, Anders Danielsen Lie, Herbert Nordrum",Joachim Trier,"Joachim Trier, Eskil Vogt",7.9
952,Miracle in Cell No. 7,11/10/19,"Aras Bulut Iynemli, Nisa Sofiya Aksongur, Deniz Baysal",Mehmet Ada Öztekin,"Özge Efendioglu, Kubilay Tat",8.2
953,The Trial of the Chicago 7,16/10/20,"Eddie Redmayne, Alex Sharp, Sacha Baron Cohen",Aaron Sorkin,Aaron Sorkin,7.8
954,Spider-Man: No Way Home,17/12/21,"Tom Holland, Zendaya, Benedict Cumberbatch",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee",8.5
955,Dune,22/10/21,"Timothée Chalamet, Rebecca Ferguson, Zendaya",Denis Villeneuve,"Jon Spaihts, Denis Villeneuve, Eric Roth",8.1
956,Nefes: Vatan Sagolsun,16/10/09,"Mete Horozoglu, Ilker Kizmaz, Baris Bagci","Levent Semerci, Erdem Can","Mehmet Ilker Altinay, Hakan Evrensel, Levent Semerci",8
957,The Chaser,14/02/08,"Kim Yoon-seok, Ha Jung-woo, Yeong-hie Seo",Na Hong-jin,"Won-Chan Hong, Na Hong-jin, Shinho Lee",7.8
958,Ip Man,12/12/08,"Donnie Yen, Simon Yam, Siu-Wong Fan",Wilson Yip,"Edmond Wong, Tai-lee Chan",8
959,Drishyam 2,19/02/21,"Mohanlal, Meena, Ansiba",Jeethu Joseph,Jeethu Joseph,8.6
960,Zack Snyders Justice League,18/03/21,"Henry Cavill, Ben Affleck, Gal Gadot",Zack Snyder,"Jerry Siegel, Joe Shuster, Zack Snyder",8.1
961,Celda 211,06/11/09,"Luis Tosar, Alberto Ammann, Antonio Resines",Daniel Monzón,"Jorge Guerricaechevarría, Daniel Monzón, Francisco Pérez Gandul",7.6
962,A Wednesday,05/09/08,"Anupam Kher, Naseeruddin Shah, Virendra Saxena",Neeraj Pandey,Neeraj Pandey,8.1
963,Drive My Car,24/11/21,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima",Ryûsuke Hamaguchi,"Haruki Murakami, Ryûsuke Hamaguchi, Takamasa Oe",7.6
964,Jai Bhim,02/11/21,"Suriya, Lijo Mol Jose, Manikandan K.",T.J. Gnanavel,T.J. Gnanavel,9.4
965,Confessions,05/06/10,"Takako Matsu, Yoshino Kimura, Masaki Okada",Tetsuya Nakashima,"Kanae Minato, Tetsuya Nakashima",7.7
966,The Batman,04/03/22,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright",Matt Reeves,"Matt Reeves, Peter Craig, Bill Finger",8.4
967,Gangs of Wasseypur,22/06/12,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui",Anurag Kashyap,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia",8.2
968,Wolf Children,21/07/12,"Aoi Miyazaki, Takao Osawa, Haru Kuroki",Mamoru Hosoda,"Mamoru Hosoda, Satoko Okudera",8.1
969,Soul,25/12/20,"Jamie Foxx, Tina Fey, Graham Norton","Pete Docter, Kemp Powers","Pete Docter, Mike Jones, Kemp Powers",8.1
970,Pride,12/09/14,"Bill Nighy, Imelda Staunton, Dominic West",Matthew Warchus,Stephen Beresford,7.8
971,Drishyam,31/07/15,"Ajay Devgn, Shriya Saran, Tabu",Nishikant Kamat,"Jeethu Joseph, Upendra Sidhaye",8.2
972,Baby,23/01/15,"Akshay Kumar, Danny Denzongpa, Rana Daggubati",Neeraj Pandey,Neeraj Pandey,8.1
973,Airlift,22/01/16,"Akshay Kumar, Nimrat Kaur, Kumud Mishra",Raja Menon,"Raja Menon, Sonu Sinha, Ritesh Shah",8.1
974,Udta Punjab,17/06/16,"Shahid Kapoor, Alia Bhatt, Kareena Kapoor",Abhishek Chaubey,"Sudip Sharma, Abhishek Chaubey",7.8
975,Masaan,24/06/15,"Richa Chadha, Sanjay Mishra, Vicky Kaushal",Neeraj Ghaywan,"Akbar Allahabadi, Bashir Badr, Brij Narayan Chakbast",8.1
976,Klaus,15/11/19,"Jason Schwartzman, J.K. Simmons, Rashida Jones","Sergio Pablos, Carlos Martínez López","Sergio Pablos, Jim Mahoney, Zach Lewis",8.2
977,The Invisible Guest,06/01/17,"Mario Casas, Ana Wagener, Jose Coronado",Oriol Paulo,"Oriol Paulo, Lara Sendim",8.1
978,Perfect Strangers,11/02/16,"Giuseppe Battiston, Anna Foglietta, Marco Giallini",Paolo Genovese,"Filippo Bologna, Paolo Costella, Paolo Genovese",7.7
979,Togo,20/12/19,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl",Ericson Core,Tom Flynn,8
980,Wolfwalkers,13/11/20,"Honor Kneafsey, Eva Whittaker, Sean Bean","Tomm Moore, Ross Stewart","Will Collins, Tomm Moore, Ross Stewart",8
981,A Silent Voice: The Movie,17/09/16,"Miyu Irino, Saori Hayami, Aoi Yûki",Naoko Yamada,"Yoshitoki Oima, Reiko Yoshida, Kiyoshi Shigematsu",8.1
982,Sound of Metal,04/12/20,"Riz Ahmed, Olivia Cooke, Paul Raci",Darius Marder,"Darius Marder, Abraham Marder, Derek Cianfrance",7.7
983,Hindi Medium,19/05/17,"Irrfan Khan, Saba Qamar, Dishita Sehgal",Saket Chaudhary,"Sonu Sinha, Saket Chaudhary, Amitosh Nagpal",7.9
984,Vikram Vedha,21/07/17,"Madhavan, Vijay Sethupathi, Shraddha Srinath","Gayatri, Pushkar","Manikandan K., Gayatri, Pushkar",8.4
985,Roma,21/11/18,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",Alfonso Cuarón,Alfonso Cuarón,7.7
986,Ayla: The Daughter of War,27/10/17,"Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee","Can Ulkay, Halenur Uzunoglu",Yigit Güralp,8.5
987,96,03/10/18,"Vijay Sethupathi, Adithya Bhaskar, Trisha Krishnan",C. Prem Kumar,C. Prem Kumar,8.6
988,Raatchasan,05/10/18,"Vishnu Vishal, Amala Paul, Radha Ravi",Ram Kumar,Ram Kumar,8.4
989,Badhaai Ho,19/10/18,"Ayushmann Khurrana, Neena Gupta, Gajraj Rao",Amit Ravindernath Sharma,"Akshat Ghildial, Jyoti Kapoor, Shantanu Srivastava",8
990,K.G.F: Chapter 1,20/12/18,"Yash, Srinidhi Shetty, Ramachandra Raju","Prashanth Neel, Jocky",Prashanth Neel,8.5
991,The Mitchells vs the Machines,30/04/21,"Abbi Jacobson, Danny McBride, Maya Rudolph","Michael Rianda, Jeff Rowe","Michael Rianda, Jeff Rowe, Peter Szilagyi",7.7
992,Dil Bechara,24/07/20,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid",Mukesh Chhabra,"Shashank Khaitan, Suprotim Sengupta, Scott Neustadter",8.1
993,RRR,25/03/22,"N.T. Rama Rao Jr., Ram Charan, Ajay Devgn",S.S. Rajamouli,"Vijayendra Prasad, Sai Madhav Burra, Madhan Karky",9.1
994,Tumbbad,12/10/18,"Sohum Shah, Jyoti Malshe, Anita Date","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Mitesh Shah, Adesh Prasad, Rahi Anil Barve",8.3
995,The Gentlemen,24/01/20,"Matthew McConaughey, Charlie Hunnam, Michelle Dockery",Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies",7.8
996,Hamilton,03/07/20,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",Thomas Kail,"Lin-Manuel Miranda, Ron Chernow",8.4
997,Dark Waters,06/12/19,"Mark Ruffalo, Anne Hathaway, Tim Robbins",Todd Haynes,"Nathaniel Rich, Mario Correa, Matthew Michael Carnahan",7.6
998,Asuran,03/10/19,"Dhanush, Manju Warrier, Prakash Raj",Vetrimaaran,"M.S. Manimaran, Vetrimaaran, Suka",8.6
