index,Movie Name,Year,Actors,Directors,Writer,Rating
544,Saw,29/10/04,"Cary Elwes, Leigh Whannell, Danny Glover",James Wan,"Leigh Whannell, James Wan",7.6
545,Primal Fear,03/04/96,"Richard Gere, Laura Linney, Edward Norton",Gregory Hoblit,"William Diehl, Steve Shagan, Ann Biderman",7.7
546,Edward Scissorhands,14/12/90,"Johnny Depp, Winona Ryder, Dianne Wiest",Tim Burton,"Tim Burton, Caroline Thompson",7.9
547,Tombstone,25/12/93,"Kurt Russell, Val Kilmer, Sam Elliott","George P. Cosmatos, Kevin Jarre",Kevin Jarre,7.8
548,12 Years a Slave,08/11/13,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",Steve McQueen,"John Ridley, Solomon Northup",8.1
549,Guess Whos Coming to Dinner,12/12/67,"Spencer Tracy, Sidney Poitier, Katharine Hepburn",Stanley Kramer,William Rose,7.8
550,Midnight in Paris,10/06/11,"Owen Wilson, Rachel McAdams, Kathy Bates",Woody Allen,Woody Allen,7.7
551,2001: A Space Odyssey,24/06/70,"Keir Dullea, Gary Lockwood, William Sylvester",Stanley Kubrick,"Stanley Kubrick, Arthur C. Clarke",8.3
552,12 Monkeys,05/01/96,"Bruce Willis, Madeleine Stowe, Brad Pitt",Terry Gilliam,"Chris Marker, David Webb Peoples, Janet Peoples",8
553,The Blues Brothers,20/06/80,"John Belushi, Dan Aykroyd, Cab Calloway",John Landis,"Dan Aykroyd, John Landis",7.9
554,The Godfather: Part II,18/12/74,"Al Pacino, Robert De Niro, Robert Duvall",Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo",9
555,Blood Diamond,08/12/06,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly",Edward Zwick,"Charles Leavitt, C. Gaby Mitchell",8
556,Boyz n the Hood,12/07/91,"Cuba Gooding Jr., Laurence Fishburne, Hudhail Al-Amir",John Singleton,John Singleton,7.8
557,Life Is Beautiful,20/12/97,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",Roberto Benigni,"Vincenzo Cerami, Roberto Benigni",8.6
558,The Butterfly Effect,23/01/04,"Ashton Kutcher, Amy Smart, Melora Walters","Eric Bress, J. Mackye Gruber","J. Mackye Gruber, Eric Bress",7.6
559,The Grand Budapest Hotel,28/03/14,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric",Wes Anderson,"Stefan Zweig, Wes Anderson, Hugo Guinness",8.1
560,Love Actually,14/11/03,"Hugh Grant, Martine McCutcheon, Liam Neeson",Richard Curtis,Richard Curtis,7.6
561,Predator,12/06/87,"Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall",John McTiernan,"Jim Thomas, John Thomas",7.8
562,Little Miss Sunshine,18/08/06,"Steve Carell, Toni Collette, Greg Kinnear","Jonathan Dayton, Valerie Faris",Michael Arndt,7.8
563,Prisoners,20/09/13,"Hugh Jackman, Jake Gyllenhaal, Viola Davis",Denis Villeneuve,Aaron Guzikowski,8.1
564,Misery,30/11/90,"James Caan, Kathy Bates, Richard Farnsworth",Rob Reiner,"Stephen King, William Goldman",7.8
565,The Goonies,07/06/85,"Sean Astin, Josh Brolin, Jeff Cohen",Richard Donner,"Chris Columbus, Steven Spielberg",7.8
566,Cinderella Man,03/06/05,"Russell Crowe, Renée Zellweger, Craig Bierko",Ron Howard,"Cliff Hollingsworth, Akiva Goldsman",8
567,Patton,02/04/70,"George C. Scott, Karl Malden, Stephen Young",Franklin J. Schaffner,"Francis Ford Coppola, Edmund H. North, Ladislas Farago",8
568,The Fifth Element,09/05/97,"Bruce Willis, Milla Jovovich, Gary Oldman",Luc Besson,"Luc Besson, Robert Mark Kamen",7.7
569,Scent of a Woman,08/01/93,"Al Pacino, Chris ODonnell, James Rebhorn",Martin Brest,"Giovanni Arpino, Bo Goldman, Ruggero Maccari",8
570,L.A. Confidential,19/09/97,"Kevin Spacey, Russell Crowe, Guy Pearce",Curtis Hanson,"James Ellroy, Brian Helgeland, Curtis Hanson",8.2
571,Lethal Weapon,06/03/87,"Mel Gibson, Danny Glover, Gary Busey",Richard Donner,"Shane Black, Jeffrey Boam",7.6
572,Kill Bill: Vol. 2,16/04/04,"Uma Thurman, David Carradine, Michael Madsen",Quentin Tarantino,"Quentin Tarantino, Uma Thurman",8
573,Big Fish,09/01/04,"Ewan McGregor, Albert Finney, Billy Crudup",Tim Burton,"Daniel Wallace, John August",8
574,The Godfather: Part III,25/12/90,"Al Pacino, Diane Keaton, Andy Garcia",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola",7.6
575,Hacksaw Ridge,04/11/16,"Andrew Garfield, Sam Worthington, Luke Bracey",Mel Gibson,"Robert Schenkkan, Andrew Knight",8.1
576,Heat,15/12/95,"Al Pacino, Robert De Niro, Val Kilmer",Michael Mann,Michael Mann,8.3
577,Seven Pounds,19/12/08,"Will Smith, Rosario Dawson, Woody Harrelson",Gabriele Muccino,Grant Nieporte,7.6
578,Kill Bill: Vol. 1,10/10/03,"Uma Thurman, David Carradine, Daryl Hannah",Quentin Tarantino,"Quentin Tarantino, Uma Thurman",8.2
579,Ferris Buellers Day Off,11/06/86,"Matthew Broderick, Alan Ruck, Mia Sara",John Hughes,John Hughes,7.8
580,The Big Short,23/12/15,"Christian Bale, Steve Carell, Ryan Gosling",Adam McKay,"Charles Randolph, Adam McKay, Michael Lewis",7.8
581,JFK,20/12/91,"Kevin Costner, Gary Oldman, Jack Lemmon",Oliver Stone,"Jim Garrison, Jim Marrs, Oliver Stone",8
582,V for Vendetta,17/03/06,"Hugo Weaving, Natalie Portman, Rupert Graves",James McTeigue,"Lilly Wachowski, Lana Wachowski, David Lloyd",8.2
583,All the Presidents Men,09/04/76,"Dustin Hoffman, Robert Redford, Jack Warden",Alan J. Pakula,"Carl Bernstein, Bob Woodward, William Goldman",7.9
584,Groundhog Day,12/02/93,"Bill Murray, Andie MacDowell, Chris Elliott",Harold Ramis,"Danny Rubin, Harold Ramis",8.1
585,The Bridges of Madison County,02/06/95,"Clint Eastwood, Meryl Streep, Annie Corley",Clint Eastwood,"Richard LaGravenese, Robert James Waller",7.6
586,My Fair Lady,25/12/64,"Audrey Hepburn, Rex Harrison, Stanley Holloway",George Cukor,"Alan Jay Lerner, George Bernard Shaw",7.8
587,Bridge of Spies,16/10/15,"Tom Hanks, Mark Rylance, Alan Alda",Steven Spielberg,"Matt Charman, Ethan Coen, Joel Coen",7.6
588,Sin City,01/04/05,"Mickey Rourke, Clive Owen, Bruce Willis","Frank Miller, Quentin Tarantino, Robert Rodriguez","Frank Miller, Robert Rodriguez",8
589,No Country for Old Men,21/11/07,"Tommy Lee Jones, Javier Bardem, Josh Brolin","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen, Cormac McCarthy",8.2
590,Ben-Hur,18/11/59,"Charlton Heston, Jack Hawkins, Stephen Boyd",William Wyler,"Lew Wallace, Karl Tunberg, Gore Vidal",8.1
591,The Nightmare Before Christmas,29/10/93,"Danny Elfman, Chris Sarandon, Catherine OHara",Henry Selick,"Tim Burton, Michael McDowell, Caroline Thompson",8
